20230424_F3_PCT-C3-SO3Na 2 mgml_H2SO4 0p01 N-2 - RawData
Wavelength nm.,Abs.
1710.00,0.165
1711.00,0.165
1712.00,0.166
1713.00,0.164
1714.00,0.164
1715.00,0.166
1716.00,0.166
1717.00,0.166
1718.00,0.167
1719.00,0.166
1720.00,0.167
1721.00,0.169
1722.00,0.169
1723.00,0.170
1724.00,0.170
1725.00,0.169
1726.00,0.171
1727.00,0.171
1728.00,0.171
1729.00,0.173
1730.00,0.172
1731.00,0.172
1732.00,0.173
1733.00,0.171
1734.00,0.172
1735.00,0.173
1736.00,0.173
1737.00,0.175
1738.00,0.175
1739.00,0.176
1740.00,0.177
1741.00,0.176
1742.00,0.177
1743.00,0.177
1744.00,0.177
1745.00,0.178
1746.00,0.178
1747.00,0.178
1748.00,0.179
1749.00,0.178
1750.00,0.180
1751.00,0.180
1752.00,0.179
1753.00,0.180
1754.00,0.180
1755.00,0.181
1756.00,0.182
1757.00,0.183
1758.00,0.184
1759.00,0.183
1760.00,0.184
1761.00,0.185
1762.00,0.184
1763.00,0.185
1764.00,0.185
1765.00,0.185
1766.00,0.187
1767.00,0.187
1768.00,0.187
1769.00,0.188
1770.00,0.187
1771.00,0.187
1772.00,0.188
1773.00,0.188
1774.00,0.190
1775.00,0.191
1776.00,0.191
1777.00,0.191
1778.00,0.191
1779.00,0.190
1780.00,0.192
1781.00,0.193
1782.00,0.193
1783.00,0.194
1784.00,0.194
1785.00,0.196
1786.00,0.196
1787.00,0.195
1788.00,0.197
1789.00,0.196
1790.00,0.197
1791.00,0.198
1792.00,0.196
1793.00,0.197
1794.00,0.197
1795.00,0.198
1796.00,0.198
1797.00,0.197
1798.00,0.199
1799.00,0.198
1800.00,0.199
1801.00,0.200
1802.00,0.199
1803.00,0.201
1804.00,0.201
1805.00,0.203
1806.00,0.202
1807.00,0.201
1808.00,0.203
1809.00,0.203
1810.00,0.203
