20230424_F4_PCT-C3-SO3Na 2 mgml_H2SO4 0p05 N - RawData
Wavelength nm.,Abs.
1597.00,0.150
1598.00,0.150
1599.00,0.151
1600.00,0.151
1601.00,0.152
1602.00,0.152
1603.00,0.152
1604.00,0.152
1605.00,0.152
1606.00,0.152
1607.00,0.152
1608.00,0.152
1609.00,0.152
1610.00,0.152
1611.00,0.151
1612.00,0.151
1613.00,0.152
1614.00,0.152
1615.00,0.153
1616.00,0.153
1617.00,0.153
1618.00,0.154
1619.00,0.155
1620.00,0.155
1621.00,0.156
1622.00,0.156
1623.00,0.156
1624.00,0.156
1625.00,0.156
1626.00,0.156
1627.00,0.155
1628.00,0.155
1629.00,0.155
1630.00,0.156
1631.00,0.156
1632.00,0.156
1633.00,0.157
1634.00,0.158
1635.00,0.158
1636.00,0.159
1637.00,0.159
1638.00,0.159
1639.00,0.158
1640.00,0.158
1641.00,0.159
1642.00,0.159
1643.00,0.159
1644.00,0.159
1645.00,0.159
1646.00,0.159
1647.00,0.159
1648.00,0.159
1649.00,0.160
1650.00,0.160
1651.00,0.161
1652.00,0.161
1653.00,0.162
1654.00,0.163
1655.00,0.163
1656.00,0.162
1657.00,0.162
1658.00,0.162
1659.00,0.162
1660.00,0.162
1661.00,0.163
1662.00,0.163
1663.00,0.164
1664.00,0.164
1665.00,0.164
1666.00,0.164
1667.00,0.164
1668.00,0.164
1669.00,0.164
1670.00,0.164
1671.00,0.165
1672.00,0.166
1673.00,0.167
1674.00,0.166
1675.00,0.167
1676.00,0.167
1677.00,0.167
1678.00,0.167
1679.00,0.167
1680.00,0.167
1681.00,0.167
1682.00,0.167
1683.00,0.168
1684.00,0.167
1685.00,0.168
1686.00,0.168
1687.00,0.168
1688.00,0.168
1689.00,0.169
1690.00,0.169
1691.00,0.170
1692.00,0.171
1693.00,0.172
1694.00,0.172
1695.00,0.171
1696.00,0.171
1697.00,0.171
1698.00,0.172
1699.00,0.172
1700.00,0.172
1701.00,0.173
1702.00,0.172
1703.00,0.173
1704.00,0.174
1705.00,0.174
1706.00,0.174
1707.00,0.174
1708.00,0.175
1709.00,0.175
1710.00,0.176
1711.00,0.176
1712.00,0.176
1713.00,0.176
1714.00,0.176
1715.00,0.177
1716.00,0.177
1717.00,0.177
1718.00,0.177
1719.00,0.177
1720.00,0.178
1721.00,0.179
1722.00,0.180
1723.00,0.180
1724.00,0.180
1725.00,0.180
1726.00,0.181
1727.00,0.181
1728.00,0.182
1729.00,0.182
1730.00,0.183
1731.00,0.183
1732.00,0.183
1733.00,0.184
1734.00,0.184
1735.00,0.184
1736.00,0.184
1737.00,0.185
1738.00,0.185
1739.00,0.185
1740.00,0.186
1741.00,0.187
1742.00,0.187
